Jul 24-Jul 26,36,59%,Insidious: Chapter 3,8,$81.7k
Jul 24-Jul 26,38,5%,Paul Blart: Mall Cop 2,15,$67.0k
Jul 24-Jul 26,39,77%,Jimmy's Hall,5,$60.5k
Jul 24-Jul 26,40,85%,The Stanford Prison Experiment,2,$57.5k
Jul 24-Jul 26,41,88%,A Borrowed Identity,5,$34.4k
Jul 24-Jul 26,42,84%,The Wolfpack,7,$33.6k
Jul 24-Jul 26,43,19%,Aloha,9,$33.0k
Jul 24-Jul 26,44,32%,Entourage,9,$30.3k
Jul 24-Jul 26,45,85%,Cinderella,20,$29.1k
Jul 24-Jul 26,46,99%,Phoenix,1,$28.0k
Jul 24-Jul 26,47,29%,Only You,1,$27.3k
Jul 24-Jul 26,48,8%,Hot Pursuit,12,$27.3k
Jul 24-Jul 26,49,82%,Do I Sound Gay?,3,$27.0k
Jul 24-Jul 26,50,85%,Far From the Madding Crowd,13,$27.0k
Aug 21-Aug 23,1,90%,Straight Outta Compton,2,$26.4M
Aug 21-Aug 23,2,92%,Mission: Impossible Rogue Nation,4,$11.5M
Aug 21-Aug 23,3,13%,Sinister 2,1,$10.5M
Aug 21-Aug 23,4,7%,Hitman: Agent 47,1,$8.3M
Aug 21-Aug 23,5,67%,The Man From U.N.C.L.E.,2,$7.3M
Aug 21-Aug 23,6,45%,American Ultra,1,$5.5M
Aug 21-Aug 23,7,93%,The Gift,3,$4.3M
Aug 21-Aug 23,8,80%,Ant-Man,6,$4.1M
Aug 21-Aug 23,9,54%,Minions,7,$3.8M
Aug 21-Aug 23,10,9%,Fantastic Four,3,$3.7M
Aug 21-Aug 23,11,27%,Vacation,5,$3.0M
Aug 21-Aug 23,12,64%,Ricki And The Flash,3,$3.0M
Aug 21-Aug 23,13,86%,Trainwreck,6,$2.5M
Aug 21-Aug 23,14,17%,Pixels,5,$2.1M
Aug 21-Aug 23,15,98%,Inside Out,10,$1.6M
Aug 21-Aug 23,16,99%,Shaun the Sheep,4,$1.5M
Aug 21-Aug 23,17,59%,Southpaw,5,$1.2M
Aug 21-Aug 23,18,71%,Jurassic World,11,$0.9M
Aug 21-Aug 23,19,87%,Mr. Holmes,6,$0.6M
Aug 21-Aug 23,20,92%,The End Of The Tour,4,$0.6M
Aug 21-Aug 23,21,55%,Paper Towns,5,$0.3M
Aug 21-Aug 23,22,99%,Phoenix,5,$0.3M
Aug 21-Aug 23,23,50%,San Andreas,13,$0.3M
Aug 21-Aug 23,24,35%,Max,9,$0.3M
Aug 21-Aug 23,25,81%,Mistress America,2,$0.2M
Aug 21-Aug 23,26,26%,Terminator Genisys,9,$0.2M
Aug 21-Aug 23,27,86%,Assassination,3,$0.2M
Aug 21-Aug 23,28,42%,Irrational Man,6,$0.2M
Aug 21-Aug 23,29,92%,Meru,2,$0.2M
Aug 21-Aug 23,30,93%,Spy,12,$0.2M
Aug 21-Aug 23,31,95%,The Diary Of A Teenage Girl,3,$0.2M
Aug 21-Aug 23,32,97%,Amy,8,$0.1M
Aug 21-Aug 23,33,93%,Grandma,1,$0.1M
Aug 21-Aug 23,34,62%,Magic Mike XXL,9,$0.1M
Aug 21-Aug 23,35,94%,Best Of Enemies,4,$0.1M
Aug 21-Aug 23,36,60%,Brothers,2,$93.5k
Aug 21-Aug 23,37,50%,Tomorrowland,14,$87.6k
Aug 21-Aug 23,38,74%,Avengers: Age of Ultron,17,$80.9k
Aug 21-Aug 23,39,97%,Mad Max: Fury Road,15,$79.4k
Aug 21-Aug 23,40,67%,Learning To Drive,1,$67.4k
Aug 21-Aug 23,41,46%,Ted 2,9,$64.9k
Aug 21-Aug 23,42,45%,Home,23,$49.4k
Aug 21-Aug 23,43,69%,Kahlil Gibran's The Prophet,3,$48.7k
Aug 21-Aug 23,45,97%,Listen To Me Marlon,5,$45.6k
Aug 21-Aug 23,46,16%,The Gallows,7,$36.2k
Aug 21-Aug 23,47,89%,Love &amp; Mercy,12,$26.7k
Aug 21-Aug 23,48,80%,Infinitely Polar Bear,10,$25.4k
Aug 21-Aug 23,49,64%,Digging For Fire,1,$24.5k
Aug 21-Aug 23,50,81%,Me and Earl and the Dying Girl,11,$24.0k
Jul 31-Aug 02,1,92%,Mission: Impossible Rogue Nation,1,$55.5M
Jul 31-Aug 02,2,27%,Vacation,2,$14.7M
Jul 31-Aug 02,3,80%,Ant-Man,3,$12.8M
Jul 31-Aug 02,4,54%,Minions,4,$12.4M
Jul 31-Aug 02,5,17%,Pixels,2,$10.5M
Jul 31-Aug 02,6,86%,Trainwreck,3,$9.6M
Jul 31-Aug 02,7,59%,Southpaw,2,$7.6M
Jul 31-Aug 02,8,55%,Paper Towns,2,$4.6M
Jul 31-Aug 02,9,98%,Inside Out,7,$4.5M
Jul 31-Aug 02,10,71%,Jurassic World,8,$3.9M
Jul 31-Aug 02,11,87%,Mr. Holmes,3,$2.4M
Jul 31-Aug 02,12,26%,Terminator Genisys,6,$0.9M
Jul 31-Aug 02,14,62%,Magic Mike XXL,6,$0.6M
Jul 31-Aug 02,15,42%,Irrational Man,3,$0.5M
Jul 31-Aug 02,16,46%,Ted 2,6,$0.5M
Jul 31-Aug 02,17,97%,Amy,5,$0.4M
Jul 31-Aug 02,18,93%,Spy,9,$0.4M
Jul 31-Aug 02,19,16%,The Gallows,4,$0.4M
Jul 31-Aug 02,20,13%,The Vatican Tapes,2,$0.3M
Jul 31-Aug 02,21,97%,Mad Max: Fury Road,12,$0.3M
Jul 31-Aug 02,22,35%,Max,6,$0.3M
Jul 31-Aug 02,23,50%,San Andreas,10,$0.2M
Jul 31-Aug 02,24,50%,Tomorrowland,11,$0.2M
Jul 31-Aug 02,25,74%,Avengers: Age of Ultron,14,$0.2M
Jul 31-Aug 02,26,92%,The End Of The Tour,1,$0.1M
Jul 31-Aug 02,27,45%,Home,20,$0.1M
Jul 31-Aug 02,28,85%,The Stanford Prison Experiment,3,$0.1M
Jul 31-Aug 02,29,80%,Infinitely Polar Bear,7,$0.1M
Jul 31-Aug 02,30,20%,Self/less,4,$96.3k
Jul 31-Aug 02,31,89%,Love &amp; Mercy,9,$86.3k
Jul 31-Aug 02,32,87%,Dope,--,$73.3k
Jul 31-Aug 02,33,94%,I'll See You in My Dreams,12,$67.3k
Jul 31-Aug 02,34,95%,Tangerine,4,$64.5k
Jul 31-Aug 02,35,59%,Insidious: Chapter 3,9,$62.9k
Jul 31-Aug 02,36,99%,Phoenix,2,$50.0k
Jul 31-Aug 02,37,81%,Me and Earl and the Dying Girl,8,$49.3k
Jul 31-Aug 02,38,81%,Testament Of Youth,9,$43.6k
Jul 31-Aug 02,39,53%,A LEGO Brickumentary,1,$43.3k
Jul 31-Aug 02,40,91%,Cartel Land,5,$42.7k
Jul 31-Aug 02,41,56%,Samba,2,$39.0k
Jul 31-Aug 02,42,85%,Cinderella,21,$36.6k
Jul 31-Aug 02,43,5%,Paul Blart: Mall Cop 2,16,$36.4k
Jul 31-Aug 02,44,78%,The Young And Prodigious T.S. Spivet,1,$33.7k
Jul 31-Aug 02,45,77%,Jimmy's Hall,6,$33.4k
Jul 31-Aug 02,46,97%,Listen To Me Marlon,2,$29.2k
Jul 31-Aug 02,48,88%,A Borrowed Identity,6,$25.3k
Jul 31-Aug 02,49,80%,Island Of Lemurs: Madagascar,70,$21.4k
Jul 31-Aug 02,50,97%,The Look of Silence,3,$20.5k
Sep 18-Sep 20,1,50%,Maze Runner: The Scorch Trials,1,$30.3M
Sep 18-Sep 20,2,76%,Black Mass,1,$22.6M
Sep 18-Sep 20,3,62%,The Visit,2,$11.6M
Sep 18-Sep 20,4,19%,The Perfect Guy,2,$9.8M
Sep 18-Sep 20,5,72%,Everest,1,$7.2M
Sep 18-Sep 20,6,37%,War Room,4,$6.2M
Sep 18-Sep 20,7,45%,A Walk In The Woods,4,$2.8M
Sep 18-Sep 20,8,92%,Mission: Impossible Rogue Nation,8,$2.2M
Sep 18-Sep 20,9,90%,Straight Outta Compton,6,$1.9M
Sep 18-Sep 20,10,93%,Grandma,5,$1.5M
Sep 18-Sep 20,11,24%,Captive,1,$1.4M
Sep 18-Sep 20,12,69%,Un gallo con muchos huevos,3,$1.1M
Sep 18-Sep 20,13,25%,90 Minutes In Heaven,2,$1.0M
Sep 18-Sep 20,14,45%,No Escape,5,$1.0M
Sep 18-Sep 20,15,54%,Minions,11,$1.0M
Sep 18-Sep 20,16,98%,Inside Out,14,$0.9M
Sep 18-Sep 20,17,80%,Ant-Man,10,$0.9M
Sep 18-Sep 20,18,67%,The Man From U.N.C.L.E.,6,$0.8M
Sep 18-Sep 20,19,16%,The Transporter Refueled,3,$0.7M
Sep 18-Sep 20,20,17%,Pixels,9,$0.7M
Sep 18-Sep 20,21,71%,Jurassic World,15,$0.6M
Sep 18-Sep 20,22,67%,Learning To Drive,5,$0.5M
Sep 18-Sep 20,23,93%,The Gift,7,$0.5M
Sep 18-Sep 20,24,86%,Trainwreck,10,$0.5M
Sep 18-Sep 20,25,93%,Sicario,--,$0.4M
Sep 18-Sep 20,26,13%,Sinister 2,5,$0.4M
Sep 18-Sep 20,27,80%,Veteran,2,$0.3M
Sep 18-Sep 20,28,27%,Vacation,9,$0.3M
Sep 18-Sep 20,29,7%,Hitman: Agent 47,5,$0.3M
Sep 18-Sep 20,30,99%,Shaun the Sheep,8,$0.3M
Sep 18-Sep 20,32,9%,Fantastic Four,7,$0.2M
Sep 18-Sep 20,34,72%,Pawn Sacrifice,--,$0.2M
Sep 18-Sep 20,35,92%,Meru,6,$0.2M
Sep 18-Sep 20,36,99%,Phoenix,9,$0.2M
Sep 18-Sep 20,37,84%,Meet The Patels,2,$0.2M
Sep 18-Sep 20,38,74%,Avengers: Age of Ultron,21,$0.1M
Sep 18-Sep 20,39,87%,Mr. Holmes,10,$0.1M
Sep 18-Sep 20,40,64%,Ricki And The Flash,7,$0.1M
Sep 18-Sep 20,41,59%,Southpaw,9,$0.1M
Sep 18-Sep 20,42,50%,San Andreas,17,$0.1M
Sep 18-Sep 20,43,35%,Max,13,$0.1M
Sep 18-Sep 20,44,59%,Sleeping with Other People,2,$92.7k
Sep 18-Sep 20,45,93%,Spy,16,$72.7k
Sep 18-Sep 20,46,55%,Paper Towns,9,$69.6k
Sep 18-Sep 20,47,81%,Mistress America,6,$61.7k
Sep 18-Sep 20,49,45%,American Ultra,5,$55.7k
Sep 18-Sep 20,50,92%,The Black Panthers: Vanguard Of The Revolution,4,$47.0k
Jul 03-Jul 05,1,98%,Inside Out,3,$29.8M
Jul 03-Jul 05,2,71%,Jurassic World,4,$29.2M
Jul 03-Jul 05,3,26%,Terminator Genisys,2,$27.0M
Jul 03-Jul 05,4,62%,Magic Mike XXL,2,$12.9M
Jul 03-Jul 05,5,46%,Ted 2,2,$11.2M
Jul 03-Jul 05,6,35%,Max,2,$6.6M
Jul 03-Jul 05,7,93%,Spy,5,$5.1M
Jul 03-Jul 05,8,50%,San Andreas,6,$2.8M
Jul 03-Jul 05,9,81%,Me and Earl and the Dying Girl,4,$1.2M
Jul 03-Jul 05,10,87%,Dope,--,$1.1M
Jul 03-Jul 05,11,97%,Mad Max: Fury Road,8,$1.0M
Jul 03-Jul 05,12,74%,Avengers: Age of Ultron,10,$0.9M
Jul 03-Jul 05,13,89%,Love &amp; Mercy,5,$0.7M
Jul 03-Jul 05,14,67%,Pitch Perfect 2,8,$0.6M
Jul 03-Jul 05,15,59%,Insidious: Chapter 3,5,$0.6M
Jul 03-Jul 05,16,94%,I'll See You in My Dreams,8,$0.5M
Jul 03-Jul 05,17,10%,Faith Of Our Fathers,2,$0.4M
Jul 03-Jul 05,18,50%,Tomorrowland,7,$0.4M
Jul 03-Jul 05,19,82%,The Overnight,3,$0.3M
Jul 03-Jul 05,20,45%,Home,16,$0.3M
Jul 03-Jul 05,21,32%,Entourage,6,$0.2M
Jul 03-Jul 05,22,90%,Sunshine Superman,7,$0.2M
Jul 03-Jul 05,23,5%,Paul Blart: Mall Cop 2,12,$0.2M
Jul 03-Jul 05,24,80%,Infinitely Polar Bear,3,$0.2M
Jul 03-Jul 05,25,81%,Testament Of Youth,5,$0.2M
Jul 03-Jul 05,26,19%,Aloha,6,$0.1M
Jul 03-Jul 05,27,84%,The Wolfpack,4,$0.1M
Jul 03-Jul 05,28,85%,Far From the Madding Crowd,10,$0.1M
Jul 03-Jul 05,29,40%,A Little Chaos,2,$0.1M
Jul 03-Jul 05,30,85%,Cinderella,17,$0.1M
Jul 03-Jul 05,31,52%,Woman in Gold,15,$0.1M
Jul 03-Jul 05,32,8%,Hot Pursuit,9,$71.9k
Jul 03-Jul 05,33,92%,Ex Machina,11,$68.9k
Jul 03-Jul 05,34,100%,The Third Man,3436,$68.5k
Jul 03-Jul 05,35,30%,Insurgent,16,$66.8k
Jul 03-Jul 05,36,31%,Poltergeist,7,$65.8k
Jul 03-Jul 05,37,54%,The Age of Adaline,11,$47.3k
Jul 03-Jul 05,38,86%,Hubble 3D,277,$42.4k
Jul 03-Jul 05,40,80%,Island Of Lemurs: Madagascar,66,$24.5k
Jul 03-Jul 05,41,52%,Escobar: Paradise Lost,2,$24.0k
Jul 03-Jul 05,42,88%,A Borrowed Identity,2,$23.3k
Jul 03-Jul 05,43,29%,Get Hard,15,$20.8k
Jul 03-Jul 05,44,67%,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,9,$17.4k
Jul 03-Jul 05,45,31%,The Longest Ride,13,$16.6k
Jul 03-Jul 05,46,94%,Under the Sea 3D,334,$15.6k
Jul 03-Jul 05,47,93%,The Farewell Party,7,$13.5k
Jul 03-Jul 05,48,97%,Iris,11,$12.8k
Jul 03-Jul 05,49,94%,Monkey Kingdom,12,$11.3k
Jul 03-Jul 05,50,89%,A Pigeon Sat on a Branch Reflecting on Existence,6,$10.1k
Sep 04-Sep 06,1,37%,War Room,2,$9.5M
Sep 04-Sep 06,2,90%,Straight Outta Compton,4,$8.6M
Sep 04-Sep 06,3,45%,A Walk In The Woods,2,$8.2M
Sep 04-Sep 06,4,16%,The Transporter Refueled,1,$7.4M
Sep 04-Sep 06,5,92%,Mission: Impossible Rogue Nation,6,$7.2M
Sep 04-Sep 06,6,45%,No Escape,3,$5.5M
Sep 04-Sep 06,7,67%,The Man From U.N.C.L.E.,4,$3.5M
Sep 04-Sep 06,8,13%,Sinister 2,3,$3.5M
Sep 04-Sep 06,9,69%,Un gallo con muchos huevos,1,$3.4M
Sep 04-Sep 06,10,98%,Inside Out,12,$3.2M
Sep 04-Sep 06,11,54%,Minions,9,$3.0M
Sep 04-Sep 06,12,80%,Ant-Man,8,$2.9M
Sep 04-Sep 06,13,71%,Jurassic World,13,$2.7M
Sep 04-Sep 06,14,93%,The Gift,5,$2.7M
Sep 04-Sep 06,15,7%,Hitman: Agent 47,3,$2.2M
Sep 04-Sep 06,16,17%,Pixels,7,$1.9M
Sep 04-Sep 06,17,86%,Trainwreck,8,$1.5M
Sep 04-Sep 06,18,45%,American Ultra,3,$1.3M
Sep 04-Sep 06,19,27%,Vacation,7,$1.2M
Sep 04-Sep 06,20,9%,Fantastic Four,5,$1.1M
Sep 04-Sep 06,21,59%,Southpaw,7,$1.0M
Sep 04-Sep 06,22,64%,Ricki And The Flash,5,$1.0M
Sep 04-Sep 06,23,99%,Shaun the Sheep,6,$0.9M
Sep 04-Sep 06,25,41%,We Are Your Friends,2,$0.6M
Sep 04-Sep 06,26,81%,Mistress America,4,$0.6M
Sep 04-Sep 06,27,93%,Grandma,3,$0.5M
Sep 04-Sep 06,28,99%,Phoenix,7,$0.5M
Sep 04-Sep 06,29,74%,Avengers: Age of Ultron,19,$0.4M
Sep 04-Sep 06,30,87%,Dope,1,$0.4M
Sep 04-Sep 06,31,87%,Mr. Holmes,8,$0.4M
Sep 04-Sep 06,32,67%,Learning To Drive,3,$0.4M
Sep 04-Sep 06,33,92%,Meru,4,$0.3M
Sep 04-Sep 06,34,50%,San Andreas,15,$0.2M
Sep 04-Sep 06,35,35%,Max,11,$0.2M
Sep 04-Sep 06,36,55%,Paper Towns,7,$0.2M
Sep 04-Sep 06,37,92%,The End Of The Tour,6,$0.2M
Sep 04-Sep 06,38,95%,The Diary Of A Teenage Girl,5,$0.2M
Sep 04-Sep 06,39,26%,Terminator Genisys,11,$0.1M
Sep 04-Sep 06,40,73%,Steve Jobs: Man in the Machine,1,$0.1M
Sep 04-Sep 06,41,93%,Spy,14,$0.1M
Sep 04-Sep 06,42,86%,Assassination,5,$0.1M
Sep 04-Sep 06,43,97%,Amy,10,$94.1k
Sep 04-Sep 06,45,50%,Tomorrowland,16,$80.1k
Sep 04-Sep 06,46,97%,Mad Max: Fury Road,17,$61.9k
Sep 04-Sep 06,47,94%,Best Of Enemies,6,$56.7k
Sep 04-Sep 06,48,42%,Irrational Man,8,$52.0k
Sep 04-Sep 06,49,95%,The Second Mother (Que Horas Ela Volta?),2,$48.8k
Sep 04-Sep 06,50,16%,The Gallows,9,$46.5k
Aug 07-Aug 09,1,92%,Mission: Impossible Rogue Nation,2,$28.5M
Aug 07-Aug 09,2,9%,Fantastic Four,1,$25.7M
Aug 07-Aug 09,3,93%,The Gift,1,$11.9M
Aug 07-Aug 09,4,27%,Vacation,3,$9.0M
Aug 07-Aug 09,5,80%,Ant-Man,4,$7.9M
Aug 07-Aug 09,6,54%,Minions,5,$7.4M
Aug 07-Aug 09,7,64%,Ricki And The Flash,1,$6.6M
Aug 07-Aug 09,8,86%,Trainwreck,4,$6.1M
Aug 07-Aug 09,9,17%,Pixels,3,$5.4M
Aug 07-Aug 09,10,59%,Southpaw,3,$4.7M
Aug 07-Aug 09,11,99%,Shaun the Sheep,2,$4.0M
Aug 07-Aug 09,12,98%,Inside Out,8,$2.7M
Aug 07-Aug 09,13,71%,Jurassic World,9,$1.9M
Aug 07-Aug 09,14,75%,Dragon Ball Z: Resurrection 'F',2,$1.8M
Aug 07-Aug 09,15,55%,Paper Towns,3,$1.5M
Aug 07-Aug 09,16,87%,Mr. Holmes,4,$1.3M
Aug 07-Aug 09,17,42%,Irrational Man,4,$0.8M
Aug 07-Aug 09,18,50%,San Andreas,11,$0.5M
Aug 07-Aug 09,19,93%,Spy,10,$0.4M
Aug 07-Aug 09,20,26%,Terminator Genisys,7,$0.3M
Aug 07-Aug 09,22,86%,Assassination,1,$0.3M
Aug 07-Aug 09,23,97%,Amy,6,$0.3M
Aug 07-Aug 09,24,92%,The End Of The Tour,2,$0.2M
Aug 07-Aug 09,25,62%,Magic Mike XXL,7,$0.2M
Aug 07-Aug 09,26,46%,Ted 2,7,$0.2M
Aug 07-Aug 09,27,97%,Mad Max: Fury Road,13,$0.2M
Aug 07-Aug 09,28,50%,Tomorrowland,12,$0.1M
Aug 07-Aug 09,29,35%,Max,7,$0.1M
Aug 07-Aug 09,30,99%,Phoenix,3,$0.1M
Aug 07-Aug 09,31,74%,Avengers: Age of Ultron,15,$0.1M
Aug 07-Aug 09,32,26%,Dark Places,1,$99.6k
Aug 07-Aug 09,33,16%,The Gallows,5,$99.0k
Aug 07-Aug 09,34,45%,Home,21,$93.8k
Aug 07-Aug 09,35,85%,The Stanford Prison Experiment,4,$82.8k
Aug 07-Aug 09,36,94%,Best Of Enemies,2,$81.6k
Aug 07-Aug 09,37,95%,The Diary Of A Teenage Girl,1,$54.5k
Aug 07-Aug 09,38,89%,Love &amp; Mercy,10,$51.2k
Aug 07-Aug 09,39,94%,I'll See You in My Dreams,13,$48.1k
Aug 07-Aug 09,40,95%,Tangerine,5,$43.0k
Aug 07-Aug 09,41,97%,Listen To Me Marlon,3,$42.2k
Aug 07-Aug 09,42,86%,Hubble 3D,282,$41.2k
Aug 07-Aug 09,43,20%,Self/less,5,$41.1k
Aug 07-Aug 09,44,80%,Infinitely Polar Bear,8,$38.6k
Aug 07-Aug 09,45,87%,Dope,--,$36.5k
Aug 07-Aug 09,47,13%,The Vatican Tapes,3,$33.2k
Aug 07-Aug 09,48,59%,Insidious: Chapter 3,10,$30.2k
Aug 07-Aug 09,49,81%,Me and Earl and the Dying Girl,9,$28.6k
Aug 07-Aug 09,50,79%,Cop Car,1,$27.0k
Aug 14-Aug 16,1,90%,Straight Outta Compton,1,$60.2M
Aug 14-Aug 16,2,92%,Mission: Impossible Rogue Nation,3,$17.2M
Aug 14-Aug 16,3,67%,The Man From U.N.C.L.E.,1,$13.4M
Aug 14-Aug 16,4,9%,Fantastic Four,2,$8.2M
Aug 14-Aug 16,5,93%,The Gift,2,$6.5M
Aug 14-Aug 16,6,80%,Ant-Man,5,$5.5M
Aug 14-Aug 16,7,27%,Vacation,4,$5.2M
Aug 14-Aug 16,8,54%,Minions,6,$5.1M
Aug 14-Aug 16,9,64%,Ricki And The Flash,2,$4.6M
Aug 14-Aug 16,10,86%,Trainwreck,5,$3.8M
Aug 14-Aug 16,11,17%,Pixels,4,$3.4M
Aug 14-Aug 16,12,99%,Shaun the Sheep,3,$2.9M
Aug 14-Aug 16,13,59%,Southpaw,4,$2.4M
Aug 14-Aug 16,14,98%,Inside Out,9,$2.0M
Aug 14-Aug 16,15,71%,Jurassic World,10,$1.2M
Aug 14-Aug 16,16,87%,Mr. Holmes,5,$0.8M
Aug 14-Aug 16,17,55%,Paper Towns,4,$0.6M
Aug 14-Aug 16,18,92%,The End Of The Tour,3,$0.4M
Aug 14-Aug 16,19,42%,Irrational Man,5,$0.4M
Aug 14-Aug 16,20,60%,Brothers,1,$0.4M
Aug 14-Aug 16,21,50%,San Andreas,12,$0.4M
Aug 14-Aug 16,22,86%,Assassination,2,$0.3M
Aug 14-Aug 16,23,35%,Max,8,$0.3M
Aug 14-Aug 16,24,93%,Spy,11,$0.2M
Aug 14-Aug 16,25,97%,Amy,7,$0.2M
Aug 14-Aug 16,26,99%,Phoenix,4,$0.2M
Aug 14-Aug 16,27,75%,Dragon Ball Z: Resurrection 'F',3,$0.2M
Aug 14-Aug 16,28,26%,Terminator Genisys,8,$0.2M
Aug 14-Aug 16,29,97%,Mad Max: Fury Road,14,$0.1M
Aug 14-Aug 16,30,94%,Best Of Enemies,3,$0.1M
Aug 14-Aug 16,31,46%,Ted 2,8,$0.1M
Aug 14-Aug 16,32,50%,Tomorrowland,13,$0.1M
Aug 14-Aug 16,33,95%,The Diary Of A Teenage Girl,2,$0.1M
Aug 14-Aug 16,34,74%,Avengers: Age of Ultron,16,$0.1M
Aug 14-Aug 16,35,62%,Magic Mike XXL,8,$0.1M
Aug 14-Aug 16,36,81%,Mistress America,1,$94.0k
Aug 14-Aug 16,37,92%,Meru,1,$91.3k
Aug 14-Aug 16,38,45%,Home,22,$63.8k
Aug 14-Aug 16,39,79%,Cop Car,2,$50.8k
Aug 14-Aug 16,41,80%,Infinitely Polar Bear,9,$44.1k
Aug 14-Aug 16,42,85%,The Stanford Prison Experiment,5,$39.0k
Aug 14-Aug 16,43,97%,Listen To Me Marlon,4,$38.6k
Aug 14-Aug 16,44,69%,Kahlil Gibran's The Prophet,2,$36.0k
Aug 14-Aug 16,45,16%,The Gallows,6,$35.5k
Aug 14-Aug 16,46,89%,Love &amp; Mercy,11,$33.7k
Aug 14-Aug 16,47,13%,The Vatican Tapes,4,$33.4k
Aug 14-Aug 16,48,94%,I'll See You in My Dreams,14,$32.4k
Aug 14-Aug 16,49,95%,Tangerine,6,$31.5k
Aug 14-Aug 16,50,76%,People Places Things,1,$30.8k
Sep 25-Sep 27,1,49%,Hotel Transylvania 2,1,$48.5M
Sep 25-Sep 27,2,60%,The Intern,1,$17.7M
Sep 25-Sep 27,3,50%,Maze Runner: The Scorch Trials,2,$14.3M
Sep 25-Sep 27,4,72%,Everest,2,$13.2M
Sep 25-Sep 27,5,76%,Black Mass,2,$11.0M
Sep 25-Sep 27,6,62%,The Visit,3,$6.7M
Sep 25-Sep 27,7,19%,The Perfect Guy,3,$4.8M
Sep 25-Sep 27,8,37%,War Room,5,$4.2M
Sep 25-Sep 27,9,38%,The Green Inferno,1,$3.5M
Sep 25-Sep 27,10,93%,Sicario,--,$1.7M
Sep 25-Sep 27,11,45%,A Walk In The Woods,5,$1.1M
Sep 25-Sep 27,12,72%,Pawn Sacrifice,1,$1.0M
Sep 25-Sep 27,13,92%,Mission: Impossible Rogue Nation,9,$0.9M
Sep 25-Sep 27,14,17%,Pixels,10,$0.8M
Sep 25-Sep 27,15,93%,Grandma,6,$0.8M
Sep 25-Sep 27,16,90%,Straight Outta Compton,7,$0.7M
Sep 25-Sep 27,18,24%,Captive,2,$0.5M
Sep 25-Sep 27,19,54%,Minions,12,$0.4M
Sep 25-Sep 27,20,71%,Jurassic World,16,$0.4M
Sep 25-Sep 27,21,98%,Inside Out,15,$0.4M
Sep 25-Sep 27,22,80%,Ant-Man,11,$0.4M
Sep 25-Sep 27,23,69%,Un gallo con muchos huevos,4,$0.3M
Sep 25-Sep 27,24,25%,90 Minutes In Heaven,3,$0.3M
Sep 25-Sep 27,25,80%,Veteran,3,$0.2M
Sep 25-Sep 27,26,45%,No Escape,6,$0.2M
Sep 25-Sep 27,27,67%,The Man From U.N.C.L.E.,7,$0.2M
Sep 25-Sep 27,28,84%,Meet The Patels,3,$0.2M
Sep 25-Sep 27,29,27%,Vacation,10,$0.2M
Sep 25-Sep 27,30,67%,Learning To Drive,6,$0.2M
Sep 25-Sep 27,31,86%,Trainwreck,11,$0.2M
Sep 25-Sep 27,32,9%,Fantastic Four,8,$0.1M
Sep 25-Sep 27,33,16%,The Transporter Refueled,4,$0.1M
Sep 25-Sep 27,34,93%,The Gift,8,$0.1M
Sep 25-Sep 27,35,59%,Sleeping with Other People,3,$0.1M
Sep 25-Sep 27,36,9%,Stonewall,1,$0.1M
